,ks_state,game_name,blurb,game_id,money_pledged,backers_count,location_id,money_goal,month_created,day_created,hour_created,month_launched,day_launched,hour_launched,month_end,day_end,hour_end,month_obtained,day_obtained,date_created_epoch,date_launched_epoch,date_end_epoch
27667,successful,BattleCON Fighting Card Game,BattleCON is a head-to-head card game based on the principles of 2D console fighters. It's easy to learn and becomes deeper each game.,724480015,15325.0,205,2352824.0,6000,12,27,19,3,7,18,4,22,18,12,13,1293497665,1299539797,1303510597
29051,successful,The Stork - Deliver the Package. Change Your Life. ,This game will change your life. Deliver your package on time and defeat the Cuckoo.,1663749110,1410.0,61,2357536.0,1100,1,12,19,1,29,14,2,28,14,12,13,1294879109,1296328066,1298920066
26939,successful,Rolling Freight Board Game,Rolling Freight is a game of building rail and shipping routes and selecting the most profitable cargo to carry across those routes.,1986235685,21186.0,293,2424766.0,18000,1,16,16,2,19,15,4,6,15,12,13,1295214445,1298146934,1302117734
26689,successful,Lyssan,"Lyssan is a board game of strategy, intrigue, and betrayal for two to four players.",638500528,31632.25,487,2487956.0,20000,1,18,14,6,18,5,8,17,5,12,13,1295379356,1308389099,1313573099
28849,successful,Mathematician's Dice,"Rather than the boring numbers 1 to 6, these dice have the six most important numbers in mathematics on them — i, 0, 1, φ, e and π!",1792365734,19620.22,1228,2487956.0,2200,1,20,21,1,24,12,2,23,12,12,13,1295577923,1295888481,1298480481
27763,successful,PeriodicTable of Elements Dice,"A fun alternative to normal dice, the Periodic Table of Elements dice encorporate the elements 1-6 (H, He, Li, Be, B, C)",518404340,2555.0,131,2490383.0,2500,2,11,2,2,11,5,3,28,5,12,13,1297410579,1297418885,1301303285
27129,successful,Skittykitts - An Addictively Fun Card Game,"Will you be the Princess, the Wizard, the Bat, or the Fool? Play your cards right, crush your friends, and have a great time!",621324317,7335.17,337,2442047.0,3000,3,5,17,1,15,21,2,14,21,12,13,1299362657,1326680292,1329272292
26109,successful,Illustrating Legend,"Over-funding goes directly to the prevention of scurvy in wild artists. Please, help save these noble creatures.",52707145,11197.34,360,2357536.0,3500,3,7,17,2,19,20,4,1,20,12,13,1299537971,1329702458,1333327658
28749,successful,DungeonMorph Dice (Dungeon Geomorphs),DungeonMorph Dice allow GM's to create dungeons by joining the sides of the rolled dice; inspire dungeon design; and they look cool!,492820343,20620.3,379,2356503.0,6500,3,17,20,3,22,18,5,22,18,12,13,1300407908,1300831229,1306101629
27924,successful,Help Fund the SWMGPA Mystery Map !,This Map will be released at Gencon 2011 for use with the Annual Mystery Map Tournament.,926276411,1602.0,79,2459618.0,1300,3,29,12,4,2,8,6,16,8,12,13,1301414413,1301749002,1308229002
27974,successful,Montage - the best 4 player word game of all time,"Montage, by Joli Kansil, is a highly regarded 4-player word game first published in a limited edition by Gamut of Games in 1973.",940597186,6387.0,120,2379574.0,5000,4,6,16,4,8,2,5,8,2,12,13,1302120219,1302242640,1304834640
28987,successful,Startup Fever - The Board Game,"Euro style indy board game. As a founder, invest wisely, treat your employees well and gain the most users.",788854626,30287.32,380,2455920.0,10111,4,8,19,4,9,2,6,14,0,12,13,1302304242,1302330897,1308024000
28772,successful,Amaranthine: A Roleplaying Game,"Amaranthine is a storytelling game of epic action and romance, where lifetimes of memory informs your stories about today's adventure.",1361601743,6008.0,88,2354447.0,2500,4,10,19,4,10,21,5,10,21,12,13,1302479937,1302485053,1305077053
27301,successful,Kamakura,"Kamakura is a strategic card game based on feudal japanese warfare. For more info, check out our website www.dyadgames.com/kamakura.",1762386113,5063.01,189,2390774.0,2500,4,14,23,5,5,20,6,14,20,12,13,1302838732,1304642809,1308098809
28852,successful,A board game of The Canterbury Tales: The Road to Canterbury,"Join the Pardoner's Guild & help Gryphon Games launch the sin-filled delightful game, The Road to Canterbury, designed by Alf Seegert.",750034038,27162.0,492,2379574.0,10000,4,15,1,4,15,13,6,14,13,12,13,1302845227,1302887616,1308071616
28592,successful,Kingdom of Solomon - Euro Style Board Game,"A worker placement game based in the time of King Solomon. Collect resources, build buildings, place roads, find your fortune!",1226105394,10020.0,151,2451822.0,5000,4,16,18,5,27,16,7,4,0,12,13,1302992949,1306526875,1309754700
27748,successful,Dark Horse,A Wild West game that pits unique characters  against each other in a race to build territories & gain influence while avoiding events.,89484339,9696.03,148,2383489.0,8000,4,18,21,5,7,15,6,21,15,12,13,1303177015,1304797749,1308685749
28904,successful,Card Game- Raiding Parties,Raiding Parties is a card game that takes place in the Golden Age.,261478634,15715.03,117,2378015.0,15000,4,19,19,4,19,23,7,18,23,12,13,1303255884,1303271035,1311047035
28352,successful,Dice Age - These ain't your grandpappy's dice!,"50% ART, 50% GAME, 100% DICE!",905935980,34134.29,526,2442047.0,10000,5,4,18,5,21,3,6,20,3,12,13,1304547540,1305962076,1308554076
28213,successful,The World of Mistrunner,Mistrunner is a role playing game that mixes high fantasy and mythology with the first glimpses of steam technology.,110994130,2447.21,70,2451822.0,2000,5,7,2,5,8,9,7,7,9,12,13,1304749753,1304863047,1310047047
28458,successful,Brimstone - Metallic Gold Accented Card Deck,Straight from the fiery pits comes BRIMSTONE playing cards!  Sulfur in the air has tainted and twisted the deck into darkness.,1168759796,20983.15,764,2427032.0,5000,5,9,22,5,10,16,6,24,16,12,13,1304994575,1305057985,1308945985
29072,successful,Compact Heroes,What happens when you combine the flexibility of a role-playing game with the portability of a card game?  Compact Heroes!,202899102,5119.78,101,2475687.0,3000,5,10,23,5,11,0,6,10,0,12,13,1305086033,1305089125,1307681125
28860,successful,Age of Lords Campaign Setting Rulebook & Player's Guide,A set of two rulebooks for a unique campaign setting compatible with 4th Edition Dungeons & Dragons as well as Pathfinder RPG,118652270,1541.0,40,2400612.0,800,5,16,21,5,16,22,6,30,22,12,13,1305596342,1305600189,1309488189
26768,successful,"Technoir: high-tech, hard-boiled roleplaying","Technoir is a high-tech, hard-boiled roleplaying game by Jeremy Keller, the author of Chronica Feudalis.",939747272,24255.0,622,2487129.0,2500,5,31,9,6,1,10,7,1,10,12,13,1306849255,1306938224,1309530224
27162,successful,Guestbook: A Flash Fiction RPG,"Guestbook is a collectible, community-building roleplaying game for telling ten minute short stories between two people.",277263279,1008.0,31,2354447.0,300,5,31,17,5,31,22,6,30,22,12,13,1306877788,1306895874,1309487874
28540,successful,Dragon Valley - The Board Game,"Divide, Defend, Conquer.  A strategy game where players compete for the king's favor by defending the kingdom from dragons and orcs.",1070559201,20483.0,278,2388929.0,16000,6,1,15,6,21,9,8,15,0,12,13,1306955295,1308662103,1313384340
25956,successful,Game Decor's PaintWorks - TerrainPaint,"A specially designed line of paints that makes painting your plaster, resin, or foam terrain simple and color consistent.",196131358,16622.0,233,2401279.0,4000,6,6,13,8,26,15,9,25,15,12,13,1307383026,1377544480,1380136480
28325,successful,"Mirror, Mirror - a game of deception, reflection and love","Gryphon Games is pleased to present its third Kickstarter project, Mirror, Mirror, a game of deception, reflection and love!",1859749403,5261.0,61,2379574.0,5000,6,6,15,6,11,21,8,10,21,12,13,1307387219,1307843593,1313027593
28013,successful,Deathfear,Deathfear is a glorious dicefest with funny and genuinely disturbing interludes. 2-5 Players!,1578002117,1535.0,23,2379574.0,1250,6,6,23,6,15,22,7,15,22,12,13,1307416158,1308192953,1310784953
26900,successful,"""If I'm Going Down..."" A Zombie themed Dying Card Game","You're alone, and you ARE going to die. It is not a question of will you survive, only a question of “How many will you take with you?""",1564383513,10640.77,186,2457170.0,6000,6,7,16,10,1,1,11,5,1,12,13,1307479834,1317445238,1320469238
28349,successful,Quest for Arete - The Game with a Secret Identity,You are an apprentice sorcerer in this new CCG.  But can you master the elements when put to the test?  So begins your Quest for Arete!,97246013,10240.0,30,2426010.0,10000,6,7,20,8,5,13,9,30,20,12,13,1307491901,1312565509,1317428400
27094,successful,Di Renjie - Deduction Card Game for 2 to 6 Players,"Di Renjie is a light deduction card game for friends and family, theme based on a famous politician and detective in the Tang Dynasty.",656260271,6471.0,280,2379877.0,5000,6,9,7,2,21,23,3,22,23,12,13,1307620122,1329885664,1332474064
28332,successful,Chronicles Of The Void - A Science Fiction RPG,A Pen&Paper RPG set in an all original far future science fiction universe.,1753918010,15100.8,221,2388929.0,9000,6,9,9,6,11,1,8,21,17,12,13,1307627175,1307769565,1313960400
28327,successful,The Manhattan Project - Board Game,"A worker placement game based on the race to build the ""bomb"". Collect resources, build buildings, refine materials, design a bomb!",18034477,8683.77,143,2451822.0,5000,6,11,14,7,13,2,8,16,0,12,13,1307817514,1310537084,1313470740
28752,successful,White Elephant Card Game,The retro-style White Elephant Card Game simulates the classic holiday gift exchange game. Give White Elephant as a White Elephant!,50271282,6917.33,216,2487610.0,6000,6,15,22,6,17,18,7,24,1,12,13,1308190124,1308350134,1311487140
28560,successful,Venture Forth Board Game,Genre crossing euro-style adventure board game. Level your heroes through accomplishing their life goals and gain victory points.,712754915,2913.0,48,2451822.0,2000,6,17,12,6,17,13,7,12,0,12,13,1308329011,1308330749,1310446740
26396,successful,Revision 1 - Drafting Themed Bicycle® Playing Cards,Back to the drafting board with Revision 1 Playing cards. These cards were designed by a designer with a designer design in mind.,1906778826,26681.09,1172,2427032.0,5500,6,22,18,8,4,13,9,7,12,12,13,1308780675,1312480116,1315411200
28850,successful,Katalyka,Katalyka is a strategy game for 1-4 players that focuses on building a successful Stellar culture that spans across the entire Galaxy!,901815576,7840.0,85,2490383.0,7500,6,23,0,7,4,19,8,18,19,12,13,1308803497,1309823052,1313711052
28803,successful,Oh My God! There's An Axe In My Head - The Board Game,"""Oh My God! There's An Axe In My Head."" The Game of International Diplomacy is a board game of strategy, diplomacy, and absurd humor.",1146339465,22995.5,348,2490383.0,16000,6,29,11,7,30,21,9,12,1,12,13,1309363019,1312077214,1315803600
27567,successful,D-Day Dice Board Game,"A finalist in 2 prestigious game design contests, D-Day Dice is now ready for commercial production!",1809530520,171805.27,2122,2357024.0,13000,6,29,22,10,30,0,12,9,0,12,13,1309401686,1319949042,1323408642
29056,successful,Children of Fire RPG,"A pen-and-paper roleplaying game of angelic struggle, where prophecy and magic fuel the war for human souls.",2095382177,2954.0,113,2367231.0,625,7,2,14,7,4,19,8,3,19,12,13,1309630057,1309820604,1312412604
28855,successful,Carnival - A deck and dice game.,A deck and dice game for 2-4 players from Dice Hate Me Games.,1919498560,34436.65,814,2394734.0,5000,7,5,13,8,17,0,10,2,3,12,13,1309887389,1313553642,1317538800
26694,successful,Flapjacks & Sasquatches - Now With a Side of Bacon,Help us print Flapjacks & Sasquatches 2nd Edition now including the expansion A Side of Bacon and receive great rewards!,1111600516,11236.77,192,2452078.0,10000,7,7,11,7,14,12,8,29,1,12,13,1310052063,1310661376,1314594000
27719,successful,Far West:  Western/Wuxia Mashup adventure game,"A fantasy world based on the tropes of the Spaghetti Western and Chinese Wuxia. Add steampunk elements. Mix well, & launch with an RPG!",1693303352,49324.5,717,2437269.0,5000,7,7,15,7,11,16,8,25,16,12,13,1310065818,1310417893,1314305893
27937,successful,CARD-tamen™ Rome - a new kind of educational card game,"An exciting new card game by The Pericles Group, LLC. Intended to promote intelligent discussion and debate about ancient Rome.",384511708,2789.33,76,2450408.0,2000,7,8,17,7,20,18,8,20,23,12,13,1310158934,1311201102,1313899140
28364,successful,LangGuini a Card Game!,"LangGuini is a card game for 3 or more players. Take word parts on the cards and CREATE A NEW WORD and DEFINE it, with a twist.",1827420343,5397.5,144,2522939.0,2200,7,8,18,12,2,20,1,16,20,12,13,1310163747,1322877346,1326765346
28556,successful,Domus Ruins: Ready-to-Play Scenery for Miniatures Games,"The Domus Ruins are ready-to-play scenery pieces for 28mm miniatures games. Great looking, super tough, versatile.",1871995389,7602.0,139,2490383.0,1000,7,11,14,8,2,19,9,1,19,12,13,1310410652,1312329318,1314921318
29080,successful,Borogove - A Wonderland Card Game!,"Wabe the gimbles, friend! A unique card game based off the nonsense words and imagery of Lewis Carroll's Alice in Wonderland series.",1533428715,30033.52,1507,2475687.0,5500,7,16,2,8,20,13,9,19,13,12,13,1310796448,1313860597,1316452597
27919,successful,Mass Transit III Maps & Surveillance Station Tiles,"A set of sci-fi cartography products for RPG and miniatures gaming, designed on a 1-inch grid and illustrated by Christopher West.",195513196,5587.0,159,2400052.0,2500,7,17,13,7,18,8,8,1,23,12,13,1310922111,1310991196,1312257540
27418,successful,Make Scurvy Dogs: Pirates and Privateers sail the seas!,"Scury Dogs: Pirates and Privateers is a board game from dern and obsidian, with gorgeous art and fun gameplay.",1345746849,23452.01,245,2383558.0,20000,7,18,11,7,20,19,9,6,11,12,13,1311004194,1311204365,1315324020
27190,successful,Flash Point: Fire Rescue,"A cooperative game that is fun to play with friends and family.  All the players are on the same team, everyone wins or loses together.",290060582,51398.7,895,2463583.0,5000,7,18,19,7,19,12,8,18,12,12,13,1311031464,1311091496,1313683496
28574,successful,HELLAS: Action Deck pt2,With the HELLAS: Action Deck the game master and the players can add another facet to their operatic Greek sci-fi games.,602932595,1815.0,44,2436704.0,1200,7,19,20,7,19,20,7,31,13,12,13,1311120722,1311122660,1312131600
27614,successful,HELLAS: Wine Dark Void,HELLAS is an epic space opera in the style of ancient Greek culture and legend.,1334112525,4905.02,100,2436704.0,4500,7,19,20,9,2,1,10,8,1,12,13,1311123025,1314939943,1318050780
28208,successful,e-Factor!TM - Fun with Ethics game,"e-Factor!® is a role-playing game that provides a fun, creative way to practice solving ethics dilemmas without losing your shirt!",487331585,4001.0,25,2471390.0,4000,7,20,18,8,10,14,9,9,14,12,13,1311200455,1313002610,1315594610
29005,successful,Help put the Scotlings Team Miniatures Into Production,"Help Impact! Miniatures put the remaining Scotlings Team into production. These pieces are the work of Dave ""Pug"" Mason.",676502685,4562.09,83,2427032.0,2500,7,24,10,7,27,15,9,10,15,12,13,1311516833,1311796311,1315684311
28338,successful,"Fealty: A Quick, Fun, Strategic Board Game","Fealty is the culmination of the question: ""How much awesome can we fit in a 15 minute board game?""  Strategic, yet simple to learn.",1694202101,15137.77,261,2355943.0,10000,7,25,13,7,28,12,8,27,12,12,13,1311616695,1311870124,1314462124
28424,successful,The Department: Sci-Fi Noir Tabletop Wargame/RPG,The Department is the newest Goalsystem game. Players take on the role of  police officers in charge of fighting robot-related crime.,941686007,5315.0,127,15127.0,3800,7,31,17,8,2,5,9,16,5,12,13,1312148566,1312276553,1316164553
29017,successful,Glory To Rome << Black Box Edition >> Rome Demands BEAUTY!,"Rome demands BEAUTY!  Deluxe edition of best selling strategy game, re-imagined with breathtaking elegance and top quality production.",490315089,73102.7,1612,2373572.0,21000,7,31,19,8,1,2,8,22,2,12,13,1312154359,1312178778,1313993178
27421,successful,Co-opoly: The Game of Cooperatives,"A game of skill and solidarity about the growing co-op movement – where everyone wins, or everyone loses.",1109537303,9266.01,176,2461848.0,8800,8,2,17,8,3,11,10,2,11,12,13,1312321271,1312383625,1317567625
28294,successful,The Hero Deck - Teaching Kids to be Heroes,Custom designed card game/learning tool. Each card details a hero from around the world and across time.,2028588625,2607.0,66,2369160.0,2000,8,2,20,2,16,13,3,22,13,12,13,1312330805,1329417715,1332438115
27048,successful,Divided Republic: A Boardgame About the Election of 1860,A card-driven board game simulating the US Election of 1860. Up to four players compete to gain the presidency and save the Union!,1897526072,14447.07,249,23509601.0,13000,8,4,14,8,24,2,10,3,2,12,13,1312481819,1314169012,1317625012
28103,successful,Mystic Empyrean - Create. Discover. Become.,Mystic Empyrean is an ambitious Role-Playing Game that turns all the conventions of a typical RPG on their head.,1115592347,10050.01,233,2352824.0,3000,8,10,16,8,19,18,9,19,0,12,13,1313009263,1313792919,1316404800
28386,successful,Alien Frontiers: Factions,"Corporate, political, scientific, and criminal factions have set their sites on Planet Maxwell in this Alien Frontiers expansion.",2065640404,76078.0,1382,2397426.0,15000,8,13,23,9,1,2,10,2,15,12,13,1313293650,1314860148,1317582000
27822,successful,Fluffy Bunny Tea Party - A card game of ruthless politeness.,"A card game of desserts, frolic, and extremely polite bunny rabbits. Play nice with the family, or throw down with your friends!",1054966470,5388.53,151,2357536.0,4400,8,17,12,9,6,9,10,10,0,12,13,1313599529,1315316140,1318219200
28452,successful,Eaten By Zombies! Deckbuilding To Die For Game,"Eaten By Zombies! is a Post-apocalyptic Zombie movie experience in a game for 2-4 players.  Feel the dread, scarcity & doom you crave!",1343610813,47874.82,1058,2437416.0,5000,8,19,14,8,20,15,9,19,15,12,13,1313779219,1313867544,1316459544
28669,successful,Sunrise City,"Whether you're the City Planner or the Lobbyist, the Lawyer or the Union Boss, you've got a role to play in building Sunrise City.",1315375496,36891.5,567,2397426.0,15000,8,19,14,8,30,1,10,1,15,12,13,1313780329,1314681657,1317495600
26153,successful,Dionysius Games - Indy Games for everyone.,"Kickstart this to help launch 5 brand new RPGs!  Earn free downloads, free books, even the right to be mentioned in the examples!",1003830843,607.0,25,2523194.0,450,8,20,2,3,23,18,4,22,18,12,13,1313821572,1332540720,1335132720
27643,successful,A Play on Words,Get out of the closet and do it on the kitchen table.,484303413,800.0,11,2436704.0,800,8,22,5,8,24,9,9,23,9,12,13,1314004813,1314193255,1316785255
27829,successful,Get Bit! Hilarious Shark/Robot Card Game for up to 6 Players,This classic game of shark & robot for up to 6 players will have you laughing your heads off! Mayday is bringing it back!,544679735,13750.33,422,2437416.0,1500,8,23,16,8,23,17,9,7,17,12,13,1314132159,1314136261,1315432261
26346,successful,'Americana' Playing Card Deck,"From Russell Kercheval, designer of the Brimstone deck, comes Americana.  An old deck taken straight from the wild west.",2091475168,26953.13,1045,2427032.0,7500,8,24,14,9,27,0,11,1,19,12,13,1314212187,1317096087,1320188400
27878,successful,DIG: the Card Game,"An easy to learn and fun to play tactical card game of hiring dwarves, provisioning supplies, digging tunnels, and mining gemstones.",818020997,7817.77,138,2484261.0,2000,8,24,18,9,2,23,10,2,23,12,13,1314225674,1315018959,1317610959
27273,successful,Green economy board game,Help the state of Hawai'i reach its sustainability goals while investing in businesses that make you money and create green jobs!,1074174586,15035.0,84,2423945.0,15000,8,26,19,8,26,21,10,10,21,12,13,1314400884,1314408862,1318296862
28038,successful,CREATURES - the card game.,"A creative, strategic, 'survival of the fittest' card game where players battle it out with wildly unique creatures of their creation.",68183243,56173.3,2218,2441472.0,2500,8,29,17,9,25,22,11,4,22,12,13,1314652436,1317005765,1320461765
29009,successful,Video Coverage of Essen International Game Fair & Ludo Fact,"The Spiel will provide in-depth video coverage of the Essen International Game Fair and a video tour of Ludo Fact, a game manufacturer.",1018010127,6969.04,163,648820.0,6500,8,30,21,9,6,11,10,6,11,12,13,1314752939,1315323314,1317915314
28881,successful,Tok Tok Woodman Dexterity Game 2-7 Players -Funded! Get it!,Tok Tok Woodman is a great family dexterity game for 2-7 players.  The game plays in under 10 minutes and is fun for all ages.  Pledge!,272102531,6710.0,149,2437416.0,5000,8,31,18,9,2,12,10,2,12,12,13,1314829321,1314980959,1317572959
27674,successful,Bhaloidam: An Indie Tabletop Storytelling Game,"Accessible and intuitive tabletop game platform for the spinning of collaborative, character-driven stories.",1457461648,31346.16,578,2475687.0,27900,9,4,13,9,17,15,11,1,15,12,13,1315158598,1316286282,1320174282
28674,successful,Imperial Crusade Armada: A Unique Space Combat Game,Imperial Crusade Armada simulates space battles using plastic ship cards instead of miniatures.,10210001,8016.0,217,2406303.0,2000,9,7,11,9,16,20,11,15,20,12,13,1315409425,1316220420,1321408020
28012,successful,BALLCRAPS,Prove who knows football best! BALLCRAPS lets you easily make bets with your friends on upcoming plays while watching the game.,564405074,2300.0,27,2459115.0,2000,9,8,18,9,12,19,10,9,18,12,13,1315519216,1315870670,1318197600
27336,successful,Solar Circuit Racing,Solar Circuit Racing is a customizable sci-fi board game for 2 to 6 people.,2125571001,12843.42,152,2490383.0,12000,9,8,19,9,9,10,11,8,10,12,13,1315524063,1315577333,1320764933
27072,successful,Kings of Air and Steam - a steampunk themed board game,"A steampunk themed board game.  Utilize your airship to pick up goods at factories, and then deliver them to cities for money.",883597272,41722.0,626,2508428.0,10000,9,9,18,10,31,11,12,14,0,12,13,1315605750,1320076792,1323840600
28036,successful,"AGENTS OF SMERSH - A Spy, Storytelling Board Game",Agents of SMERSH - A Storytelling Spy Game Set During the Cold War,2079613585,101507.0,1155,2437315.0,20000,9,12,20,1,19,23,3,19,23,12,13,1315872997,1327033442,1332213842
28365,successful,MEGAcquire - An Enhanced Adventure Into High Finance,MEGAcquire is the quest to create a larger board game of building companies and buying & trading stocks using a plastic board & tiles.,674844582,9374.51,80,2441760.0,5000,9,13,13,4,27,16,6,21,2,12,13,1315935265,1335560325,1340261940
28707,successful,Wild Cards- Playing Card Games,Various playing card games for the family and friends,1006111903,1155.23,37,2504633.0,1000,9,14,15,9,14,17,10,14,17,12,13,1316030070,1316034699,1318626699
26839,successful,Super Showdown! -A game from the golden age of comics,Use Superpowers to recreate the back-and-forth struggle between Hero & Villain as you chase mayhem around the city-grid!,1718092244,8624.0,402,2487610.0,500,9,16,20,9,17,21,10,9,1,12,13,1316220615,1316310936,1318139940
28726,successful,Wreck Age: A far-future dystopian post-exodus adventure!,"A dystopian, post-Exodus adventure, where communities vie for resources on 25th century Earth. 28mm tabletop skirmish game and an RPG.",79163905,10674.0,99,2424766.0,5000,9,20,10,10,29,23,12,28,23,12,13,1316529812,1319946630,1325134230
